"MESEC","STATISTIÈNA REGIJA","Povpreèna doba bivanja – domaèi turisti (prenoèitev)","Povpreèna doba bivanja – tuji turisti (prenoèitev)"
"2019M09","Posavska",3.34,3.27
"2019M09","Jugovzhodna Slovenija",3.52,1.98
"2019M09","Osrednjeslovenska",1.80,1.99
"2019M09","Gorenjska",1.92,2.11
"2019M09","Primorsko-notranjska",1.69,1.47
"2019M09","Goriška",1.68,2.09
"2019M09","Obalno-kraška",3.25,2.74
"2019M10","SLOVENIJA",2.52,2.22
"2019M10","Pomurska",2.65,3.37
"2019M10","Podravska",2.03,2.32
"2019M10","Koroška",2.80,2.56
"2019M10","Savinjska",2.78,3.24
"2019M10","Zasavska",2.42,3.27
"2019M10","Posavska",2.59,3.40
"2019M10","Jugovzhodna Slovenija",3.55,2.27
"2019M10","Osrednjeslovenska",1.70,2.02
"2019M10","Gorenjska",1.94,1.89
"2019M10","Primorsko-notranjska",1.91,1.56
"2019M10","Goriška",2.01,2.06
"2019M10","Obalno-kraška",2.68,2.38
"2019M11","SLOVENIJA",2.64,2.31
"2019M11","Pomurska",2.92,3.45
"2019M11","Podravska",2.10,2.69
"2019M11","Koroška",2.56,3.12
"2019M11","Savinjska",2.89,3.09
"2019M11","Zasavska",2.39,2.34
"2019M11","Posavska",3.07,2.66
"2019M11","Jugovzhodna Slovenija",3.77,2.24
"2019M11","Osrednjeslovenska",1.60,1.98
"2019M11","Gorenjska",2.02,1.95
"2019M11","Primorsko-notranjska",1.78,1.79
"2019M11","Goriška",1.99,1.94
"2019M11","Obalno-kraška",2.79,2.45
"2019M12","SLOVENIJA",2.57,2.31
"2019M12","Pomurska",2.74,3.11
"2019M12","Podravska",2.15,2.49
"2019M12","Koroška",2.89,3.36
"2019M12","Savinjska",2.89,2.94
"2019M12","Zasavska",2.21,4.32
"2019M12","Posavska",2.78,2.49
"2019M12","Jugovzhodna Slovenija",4.16,2.30
"2019M12","Osrednjeslovenska",1.49,1.93
"2019M12","Gorenjska",2.31,2.48
"2019M12","Primorsko-notranjska",2.12,1.55
"2019M12","Goriška",2.11,2.15
"2019M12","Obalno-kraška",2.67,2.32
"2020M01","SLOVENIJA",2.88,2.66
"2020M01","Pomurska",2.82,2.90
"2020M01","Podravska",2.77,2.66
"2020M01","Koroška",3.15,3.93
"2020M01","Savinjska",3.10,3.28
"2020M01","Zasavska",2.05,3.56
"2020M01","Posavska",3.11,2.61
"2020M01","Jugovzhodna Slovenija",4.37,2.61
"2020M01","Osrednjeslovenska",1.70,2.05
"2020M01","Gorenjska",2.91,3.16
"2020M01","Primorsko-notranjska",2.40,1.53
"2020M01","Goriška",2.70,2.34
"2020M01","Obalno-kraška",2.62,2.44
"2020M02","SLOVENIJA",3.02,2.64
"2020M02","Pomurska",2.83,2.95
"2020M02","Podravska",2.79,2.94
"2020M02","Koroška",3.13,3.27
"2020M02","Savinjska",3.19,2.92
"2020M02","Zasavska",2.35,3.99
"2020M02","Posavska",2.98,2.53
"2020M02","Jugovzhodna Slovenija",4.47,2.39
"2020M02","Osrednjeslovenska",1.82,2.12
"2020M02","Gorenjska",3.13,3.19
"2020M02","Primorsko-notranjska",2.32,1.73
"2020M02","Goriška",2.71,2.42
"2020M02","Obalno-kraška",3.04,2.25
"2020M03","SLOVENIJA",3.23,3.03
"2020M03","Pomurska",3.31,3.50
"2020M03","Podravska",2.78,3.96
"2020M03","Koroška",3.46,3.23
"2020M03","Savinjska",3.63,4.10
"2020M03","Zasavska",1.82,7.24
"2020M03","Posavska",3.43,3.43
"2020M03","Jugovzhodna Slovenija",5.18,2.50
"2020M03","Osrednjeslovenska",1.99,2.59
"2020M03","Gorenjska",3.05,2.90
"2020M03","Primorsko-notranjska",1.71,2.76
"2020M03","Goriška",2.73,2.88
"2020M03","Obalno-kraška",3.21,2.65
"2020M04","SLOVENIJA",N,N
"2020M04","Pomurska",N,N
"2020M04","Podravska",N,N
"2020M04","Koroška",N,N
"2020M04","Savinjska",N,N
"2020M04","Zasavska",...,N
"2020M04","Posavska",N,N
"2020M04","Jugovzhodna Slovenija",N,N
"2020M04","Osrednjeslovenska",N,N
"2020M04","Gorenjska",N,N
"2020M04","Primorsko-notranjska",...,N
"2020M04","Goriška",N,N
"2020M04","Obalno-kraška",N,N
"2020M05","SLOVENIJA",1.84,3.78
"2020M05","Pomurska",1.90,2.39
"2020M05","Podravska",1.61,9.28
"2020M05","Koroška",2.71,2.35
"2020M05","Savinjska",1.87,4.45
"2020M05","Zasavska",1.60,19.00
"2020M05","Posavska",2.69,5.89
"2020M05","Jugovzhodna Slovenija",1.74,1.87
"2020M05","Osrednjeslovenska",1.79,4.06
"2020M05","Gorenjska",1.87,2.13
"2020M05","Primorsko-notranjska",2.02,1.85
"2020M05","Goriška",1.56,2.44
"2020M05","Obalno-kraška",1.92,2.56
"2020M06","SLOVENIJA",3.00,2.00
"2020M06","Pomurska",3.00,3.00
"2020M06","Podravska",2.00,2.00
"2020M06","Koroška",2.00,2.00
"2020M06","Savinjska",3.00,2.00
"2020M06","Zasavska",2.00,3.00
"2020M06","Posavska",3.00,3.00
"2020M06","Jugovzhodna Slovenija",3.00,2.00
"2020M06","Osrednjeslovenska",2.00,2.00
"2020M06","Gorenjska",2.00,2.00
"2020M06","Primorsko-notranjska",2.00,2.00
"2020M06","Goriška",2.00,2.00
"2020M06","Obalno-kraška",3.00,3.00
"2020M07","SLOVENIJA",3.46,2.69
"2020M07","Pomurska",3.68,3.26
"2020M07","Podravska",2.93,1.67
"2020M07","Koroška",2.71,3.00
"2020M07","Savinjska",3.43,3.50
"2020M07","Zasavska",2.95,2.84
"2020M07","Posavska",3.61,4.44
"2020M07","Jugovzhodna Slovenija",3.49,2.41
"2020M07","Osrednjeslovenska",2.37,1.89
"2020M07","Gorenjska",3.03,2.73
"2020M07","Primorsko-notranjska",2.26,1.59
"2020M07","Goriška",2.74,2.72
"2020M07","Obalno-kraška",4.27,3.34
"2020M08","SLOVENIJA",3.00,3.00
"2020M08","Pomurska",4.00,4.00
"2020M08","Podravska",3.00,2.00
"2020M08","Koroška",3.00,3.00
"2020M08","Savinjska",3.00,4.00
"2020M08","Zasavska",3.00,2.00
"2020M08","Posavska",4.00,5.00
"2020M08","Jugovzhodna Slovenija",3.00,3.00
"2020M08","Osrednjeslovenska",2.00,2.00
"2020M08","Gorenjska",3.00,3.00
"2020M08","Primorsko-notranjska",2.00,2.00
"2020M08","Goriška",3.00,3.00
"2020M08","Obalno-kraška",4.00,3.00
"2020M09","SLOVENIJA",3.00,3.00
"2020M09","Pomurska",3.00,4.00
"2020M09","Podravska",3.00,3.00
"2020M09","Koroška",2.00,3.00
"2020M09","Savinjska",3.00,3.00
"2020M09","Zasavska",2.00,4.00
"2020M09","Posavska",3.00,4.00
"2020M09","Jugovzhodna Slovenija",3.00,2.00
"2020M09","Osrednjeslovenska",2.00,2.00
"2020M09","Gorenjska",2.00,3.00
"2020M09","Primorsko-notranjska",2.00,2.00
"2020M09","Goriška",2.00,2.00
"2020M09","Obalno-kraška",3.00,4.00
"2020M10","SLOVENIJA",3.08,3.27
"2020M10","Pomurska",3.35,4.11
"2020M10","Podravska",2.72,4.56
"2020M10","Koroška",2.92,3.64
"2020M10","Savinjska",3.47,4.20
"2020M10","Zasavska",3.39,3.05
"2020M10","Posavska",3.12,3.40
"2020M10","Jugovzhodna Slovenija",4.29,3.13
"2020M10","Osrednjeslovenska",2.37,3.22
"2020M10","Gorenjska",2.44,2.91
"2020M10","Primorsko-notranjska",2.24,1.95
"2020M10","Goriška",2.31,2.26
"2020M10","Obalno-kraška",3.23,3.26
"2020M11","SLOVENIJA",8.33,7.54
"2020M11","Pomurska",9.00,2.94
"2020M11","Podravska",2.89,11.83
"2020M11","Koroška",4.12,11.28
"2020M11","Savinjska",11.29,7.63
"2020M11","Zasavska",10.11,2.58
"2020M11","Posavska",8.38,8.84
"2020M11","Jugovzhodna Slovenija",10.40,3.12
"2020M11","Osrednjeslovenska",5.63,5.56
"2020M11","Gorenjska",3.49,8.57
"2020M11","Primorsko-notranjska",2.93,5.48
"2020M11","Goriška",3.16,8.84
"2020M11","Obalno-kraška",8.98,10.93
"2020M12","SLOVENIJA",7.78,7.04
"2020M12","Pomurska",10.72,3.67
"2020M12","Podravska",3.48,13.07
"2020M12","Koroška",3.31,10.14
"2020M12","Savinjska",13.57,6.66
"2020M12","Zasavska",23.00,4.38
"2020M12","Posavska",12.87,6.78
"2020M12","Jugovzhodna Slovenija",11.50,2.37
"2020M12","Osrednjeslovenska",3.54,5.53
"2020M12","Gorenjska",3.54,6.09
"2020M12","Primorsko-notranjska",1.89,2.42
"2020M12","Goriška",2.92,10.74
"2020M12","Obalno-kraška",10.79,14.82
"2021M01","SLOVENIJA",5.65,4.66
"2021M01","Pomurska",7.36,3.53
"2021M01","Podravska",2.71,6.61
"2021M01","Koroška",4.11,5.77
"2021M01","Savinjska",8.53,5.93
"2021M01","Zasavska",3.00,11.00
"2021M01","Posavska",6.89,5.02
"2021M01","Jugovzhodna Slovenija",9.64,2.55
"2021M01","Osrednjeslovenska",3.03,4.01
"2021M01","Gorenjska",3.11,4.26
"2021M01","Primorsko-notranjska",2.15,2.48
"2021M01","Goriška",3.15,6.85
"2021M01","Obalno-kraška",7.94,4.32
"2021M02","SLOVENIJA",4.79,4.79
"2021M02","Pomurska",7.08,3.80
"2021M02","Podravska",2.58,4.61
"2021M02","Koroška",3.63,6.92
"2021M02","Savinjska",6.54,4.16
"2021M02","Zasavska",4.23,3.97
"2021M02","Posavska",6.40,2.85
"2021M02","Jugovzhodna Slovenija",9.34,2.46
"2021M02","Osrednjeslovenska",2.74,3.42
"2021M02","Gorenjska",3.80,7.15
"2021M02","Primorsko-notranjska",2.04,2.98
"2021M02","Goriška",3.30,7.60
"2021M02","Obalno-kraška",5.45,3.13
"2021M03","SLOVENIJA",4.49,4.02
"2021M03","Pomurska",5.48,3.63
"2021M03","Podravska",2.77,4.80
"2021M03","Koroška",3.65,4.26
"2021M03","Savinjska",6.92,4.02
"2021M03","Zasavska",2.14,5.91
"2021M03","Posavska",5.09,3.87
"2021M03","Jugovzhodna Slovenija",7.74,1.84
"2021M03","Osrednjeslovenska",2.29,3.49
"2021M03","Gorenjska",2.90,4.58
"2021M03","Primorsko-notranjska",2.31,3.09
"2021M03","Goriška",4.05,6.25
"2021M03","Obalno-kraška",5.81,3.80
"2021M04","SLOVENIJA",3.39,4.82
"2021M04","Pomurska",3.03,3.68
"2021M04","Podravska",2.12,4.93
"2021M04","Koroška",2.81,4.71
"2021M04","Savinjska",5.64,3.83
"2021M04","Zasavska",1.50,7.72
"2021M04","Posavska",4.33,16.79
"2021M04","Jugovzhodna Slovenija",5.45,2.70
"2021M04","Osrednjeslovenska",1.99,3.67
"2021M04","Gorenjska",2.26,3.75
"2021M04","Primorsko-notranjska",2.24,3.14
"2021M04","Goriška",3.17,7.48
"2021M04","Obalno-kraška",2.84,4.07
"2021M05","SLOVENIJA",2.70,3.04
"2021M05","Pomurska",2.88,2.95
"2021M05","Podravska",2.13,3.92
"2021M05","Koroška",2.30,3.53
"2021M05","Savinjska",3.48,3.25
"2021M05","Zasavska",2.40,4.35
"2021M05","Posavska",2.81,6.05
"2021M05","Jugovzhodna Slovenija",3.77,2.92
"2021M05","Osrednjeslovenska",1.99,3.03
"2021M05","Gorenjska",2.18,2.45
"2021M05","Primorsko-notranjska",1.76,2.47
"2021M05","Goriška",1.87,2.73
"2021M05","Obalno-kraška",2.60,2.55
"2021M06","SLOVENIJA",2.79,2.52
"2021M06","Pomurska",3.03,3.57
"2021M06","Podravska",2.22,2.18
"2021M06","Koroška",2.26,2.82
"2021M06","Savinjska",2.97,3.08
"2021M06","Zasavska",2.62,2.48
"2021M06","Posavska",2.86,3.15
"2021M06","Jugovzhodna Slovenija",3.10,2.28
"2021M06","Osrednjeslovenska",2.03,2.22
"2021M06","Gorenjska",2.40,2.44
"2021M06","Primorsko-notranjska",2.29,1.72
"2021M06","Goriška",2.16,2.47
"2021M06","Obalno-kraška",3.12,2.82
"2021M07","SLOVENIJA",3.40,2.56
"2021M07","Pomurska",3.49,3.38
"2021M07","Podravska",2.75,1.63
"2021M07","Koroška",2.78,3.47
"2021M07","Savinjska",3.37,3.46
"2021M07","Zasavska",2.72,4.86
"2021M07","Posavska",3.39,4.07
"2021M07","Jugovzhodna Slovenija",3.48,2.44
"2021M07","Osrednjeslovenska",2.32,1.94
"2021M07","Gorenjska",2.92,2.63
"2021M07","Primorsko-notranjska",2.59,1.48
"2021M07","Goriška",2.64,2.58
"2021M07","Obalno-kraška",4.16,3.21
"2021M08","SLOVENIJA",3.32,2.63
"2021M08","Pomurska",3.41,3.45
"2021M08","Podravska",2.63,1.77
"2021M08","Koroška",2.54,2.84
"2021M08","Savinjska",3.25,3.63
"2021M08","Zasavska",2.27,2.47
"2021M08","Posavska",3.37,5.26
"2021M08","Jugovzhodna Slovenija",3.35,2.16
"2021M08","Osrednjeslovenska",2.26,1.90
"2021M08","Gorenjska",2.93,2.76
"2021M08","Primorsko-notranjska",2.16,1.54
"2021M08","Goriška",2.69,2.73
"2021M08","Obalno-kraška",4.15,3.28
"2021M09","SLOVENIJA",2.73,2.40
"2021M09","Pomurska",3.10,4.03
"2021M09","Podravska",2.30,1.96
"2021M09","Koroška",2.14,2.28
"2021M09","Savinjska",2.96,3.20
"2021M09","Zasavska",2.50,2.66
"2021M09","Posavska",2.90,3.91
"2021M09","Jugovzhodna Slovenija",3.05,2.28
"2021M09","Osrednjeslovenska",2.04,2.05
"2021M09","Gorenjska",2.19,2.31
"2021M09","Primorsko-notranjska",2.03,1.44
"2021M09","Goriška",2.05,2.26
"2021M09","Obalno-kraška",3.15,3.05
